"COD_REG","COD_CM","COD_PRO","PRO_COM","COMUNE","NOME_TED","E_EPGS32632","W_EPGS32632","S_EPGS32632","N_EPGS32632","E_EPGS4326","W_EPGS4326","S_EPGS4326","N_EPGS4326"
1,201,1,1124,"Issiglio",NA,399504.43880667,403135.817164024,5031884.61407378,5035293.58878022,7.71460397307503,7.76125673953282,45.4335270403923,45.4640194718858
1,201,1,1156,"Moncalieri",NA,393387.936065671,402037.587802472,4975761.03474269,4987206.15775843,7.64801878951654,7.75711174176512,44.9279336079495,45.0311637946497
1,201,1,1157,"Moncenisio",NA,339834.048661905,343364.270055241,5006450.28515346,5009335.76332681,6.96061565914667,7.00521778233855,45.1935894640113,45.2200559070222
1,201,1,1158,"Montaldo Torinese",NA,408853.534476445,410782.52068956,4989174.93663167,4992878.40977153,7.84210898672514,7.86639874250042,45.0502245878081,45.0837233616224
1,201,1,1159,"Montalenghe",NA,407353.571499838,410323.736671267,5017820.72189336,5023136.18203473,7.81779755427408,7.85529851404082,45.3079990307357,45.3557647682087
1,201,1,1101,"Favria",NA,395478.629508199,398431.79387751,5014386.74425499,5021325.69299365,7.66672780210843,7.70367037631869,45.2754603799763,45.337899612538
1,201,1,1102,"Feletto",NA,400783.057475415,404628.530411413,5014264.24771722,5018478.21546858,7.73446295528277,7.78400368138801,45.2752705468277,45.3130228605618
1,201,1,1196,"Piverone",NA,419619.789138528,424795.532192123,5030329.13160405,5034646.59848251,7.97218923123933,8.03840088040805,45.4222988695618,45.4609419944146
1,201,1,1197,"Poirino",NA,404168.262156994,413286.225151931,4965080.62065611,4979179.5124512,7.78599212552897,7.90156791588092,44.8333755736978,44.9600816949761
1,201,1,1198,"Pomaretto",NA,353899.451915554,358080.859171097,4976469.51809042,4981405.97940938,7.14749491761406,7.20080659399473,44.9273701594444,44.9715316424125
1,201,1,1125,"Ivrea",NA,409485.175721655,416333.284225279,5029407.63730286,5038009.07215022,7.84191223726411,7.93073194775161,45.4131842170062,45.4901157998462
1,201,1,1126,"La Cassa",NA,380651.930728524,385330.115651662,5001190.84042652,5006514.79969496,7.48093508536557,7.54058340354527,45.1546761185389,45.2026312034968
